"Siena University",,,,,,,,,,,,,,,
"There were: 515 possible respondents.",,,,,,,,,,,,,,,
Order,Question Text,N,Avg,SD,CSIS Avg,School Avg,Siena Avg,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
"The class was fun to take. I know that it’s out of the professors’ control but I strongly believe that late work even a minute late shouldn’t be counted as a 0. While this is a college course everyone turns in late work every now and then, getting a 0 immediately makes people not want to even bother completing the work and then we get double penalized for it by getting sanctions for not doing it.",,,,,,,,,,,,,,,
course was not to hard or easy,,,,,,,,,,,,,,,
"Everything on canvas in the beginning of the semester was organized, but as the semester went on it feel off. When it was organized, it was easy to find what we did in class, and what was done and when. Not sure why it stoped",,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,
"I made sure to show up to almost every lab and scheduled meetings. Even if I was sick, I still made an effort to go to meetings via zoom and only used zoom as a last resort and the team mainly met physically.",,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,
There is the ILA that has been troubling me a lot and I am glad that it has been pseudo delayed but this is definitely my fault (Specifically with the checkpoints).,,,,,,,,,,,,,,,
good class,,,,,,,,,,,,,,,
There were some days where I was feeling sick this semester and I was not able to complete the homework in time. It was upsetting because this course is not accommodating to a student having illnesses ,,,,,,,,,,,,,,,
Assignment due dates and deadlines were stated clearly,,,,,,,,,,,,,,,
"All assignments were completed prior before class, I could’ve taken more time to understand the textbook material",,,,,,,,,,,,,,,
this course is well designed and i understood how to do everything just by completing the checkpoints and homeworks,,,,,,,,,,,,,,,
"The work was manageable and fair. Though some assignments were difficult, it was because the topics took more time to understand. All in all, it was a fair amount of work.",,,,,,,,,,,,,,,
I would do assignments in class so they were done for the weekend ,,,,,,,,,,,,,,,
"I struggled with some health issues and it really affected my ability to be the student that I usually am, which was hard this semester. It haltered my ability to stay on top of work.",,,,,,,,,,,,,,,
Professor Chaudhari is a great professor who truly cares about his student's success. ,,,,,,,,,,,,,,,
Work was easy to finish before class.,,,,,,,,,,,,,,,
I was already ready in class with either my homework done or with the materials I would need.,,,,,,,,,,,,,,,
"This class was surprisingly enjoyable, which was mainly because of professor Chaudhari. I also enjoyed how every class was very procedural and felt sort of like a puzzle to solve.",,,,,,,,,,,,,,,
